WKT,nombre,descripci√≥n,
POINT (-77.041695 38.9090213),Nodo 505,,
POINT (-77.0416776 38.9096432),Nodo 506,,
POINT (-77.0384951 38.9100419),Nodo 508,,
POINT (-77.0416773 38.9100421),Nodo 507,,
POINT (-77.0385056 38.9096299),Nodo 509,,
POINT (-77.0384841 38.9086824),Nodo 510,,
POINT (-77.0385153 38.9079072),Nodo 511,,
POINT (-77.0366379 38.9086906),Nodo 512,,
POINT (-77.0365773 38.9088138),Nodo 513,,
POINT (-77.0364684 38.9088203),Nodo 514,,
POINT (-77.0364114 38.9086946),Nodo 515,,
POINT (-77.0363498 38.9074625),Nodo 516,,
POINT (-77.0361028 38.9072826),Nodo 517,,
POINT (-77.0363021 38.9070488),Nodo 518,,
POINT (-77.0367355 38.9070408),Nodo 519,,
POINT (-77.0371994 38.9096328),Nodo 520,,
POINT (-77.0365671 38.909637),Nodo 521,,
POINT (-77.036454 38.9096404),Nodo 522,,
POINT (-77.0345576 38.9096189),Nodo 523,,
POINT (-77.0319727 38.9088323),Nodo 524,,
POINT (-77.0319668 38.9072401),Nodo 525,,
POINT (-77.0319514 38.9067191),Nodo 526,,
POINT (-77.0319868 38.9062075),Nodo 527,,
POINT (-77.0318514 38.9063024),Nodo 528,,
POINT (-77.0316662 38.906016),Nodo 529,,
POINT (-77.0314496 38.9065073),Nodo 530,,
POINT (-77.0311634 38.906988),Nodo 531,,
POINT (-77.0310133 38.9072467),Nodo 532,,
POINT (-77.02964 38.9072258),Nodo 533,,
POINT (-77.030236 38.9085731),Nodo 534,,
POINT (-77.0296077 38.9085699),Nodo 535,,
POINT (-77.0296295 38.9064373),Nodo 536,,
POINT (-77.0281168 38.9064498),Nodo 537,,
POINT (-77.028106 38.9072304),Nodo 538,,
POINT (-77.027044 38.9072559),Nodo 539,,
POINT (-77.0281115 38.9085499),Nodo 540,,
POINT (-77.0270387 38.9085625),Nodo 541,,
POINT (-77.0281021 38.9061407),Nodo 542,,
POINT (-77.027602 38.9072433),Nodo 543,,
POINT (-77.0296056 38.9076868),Nodo 544,,
POINT (-77.028095 38.9076816),Nodo 545,,
POINT (-77.0285843 38.90858),Nodo 546,,
POINT (-77.029621 38.9087027),Nodo 547,,
POINT (-77.0295451 38.9088602),Nodo 548,,
POINT (-77.0293151 38.9091435),Nodo 549,,
POINT (-77.029031 38.9093689),Nodo 550,,
POINT (-77.0289181 38.9096898),Nodo 551,,
POINT (-77.0286284 38.9096475),Nodo 552,,
POINT (-77.0280685 38.9096288),Nodo 553,,
POINT (-77.0280719 38.9090171),Nodo 554,,
POINT (-77.0276021 38.9090176),Nodo 555,,
POINT (-77.027055 38.9090176),Nodo 556,,
POINT (-77.0275892 38.9096405),Nodo 557,,
POINT (-77.0270407 38.9096363),Nodo 558,,
POINT (-77.0280935 38.9101018),Nodo 559,,
POINT (-77.0270345 38.9104727),Nodo 560,,
POINT (-77.0266551 38.9105926),Nodo 561,,
POINT (-77.0265263 38.9096472),Nodo 562,,
POINT (-77.0265315 38.9089445),Nodo 563,,
POINT (-77.027009 38.9089299),Nodo 564,,
POINT (-77.0260112 38.9089445),Nodo 565,,
POINT (-77.0259826 38.9085708),Nodo 566,,
POINT (-77.026511 38.9085645),Nodo 567,,
POINT (-77.0265271 38.9081429),Nodo 568,,
POINT (-77.0260014 38.9081659),Nodo 569,,
POINT (-77.0259841 38.9076729),Nodo 570,,
POINT (-77.0264965 38.9076479),Nodo 571,,
POINT (-77.0270034 38.9076353),Nodo 572,,
POINT (-77.0259814 38.9072554),Nodo 573,,
POINT (-77.0264911 38.9072408),Nodo 574,,
POINT (-77.0264819 38.9061373),Nodo 575,,
POINT (-77.0260205 38.906129),Nodo 576,,
POINT (-77.0253339 38.9061123),Nodo 577,,
POINT (-77.0250174 38.9061164),Nodo 578,,
POINT (-77.025291 38.9064713),Nodo 579,,
POINT (-77.0249959 38.9064587),Nodo 580,,
POINT (-77.0249664 38.9072414),Nodo 581,,
POINT (-77.0239794 38.9072331),Nodo 582,,
POINT (-77.0234751 38.9072539),Nodo 583,,
POINT (-77.0239928 38.9077027),Nodo 584,,
POINT (-77.0245936 38.9077236),Nodo 585,,
POINT (-77.0254143 38.9077111),Nodo 586,,
POINT (-77.0253687 38.9081139),Nodo 587,,
POINT (-77.0245989 38.9081327),Nodo 588,,
POINT (-77.0246284 38.9085751),Nodo 589,,
POINT (-77.0249852 38.9085793),Nodo 590,,
POINT (-77.0253904 38.9085621),Nodo 591,,
POINT (-77.0254547 38.9089941),Nodo 592,,
POINT (-77.0250014 38.9090045),Nodo 593,,
POINT (-77.0244945 38.9089941),Nodo 594,,
POINT (-77.0259885 38.909662),Nodo 595,,
POINT (-77.0260099 38.9108308),Nodo 596,,
POINT (-77.0254628 38.9096536),Nodo 597,,
POINT (-77.0249853 38.9096328),Nodo 598,,
POINT (-77.0245562 38.9096411),Nodo 599,,
POINT (-77.0245723 38.9110937),Nodo 600,,
POINT (-77.0250765 38.9111563),Nodo 601,,
POINT (-77.0283184 38.9111108),Nodo 602,,
POINT (-77.0289885 38.9121891),Nodo 603,,
POINT (-77.0240047 38.9111221),Nodo 604,,
POINT (-77.0239994 38.9115395),Nodo 605,,
POINT (-77.0239785 38.9096486),Nodo 606,,
POINT (-77.0239893 38.9089849),Nodo 607,,
POINT (-77.0239839 38.9085717),Nodo 608,,
POINT (-77.023483 38.9111191),Nodo 609,,
POINT (-77.0229251 38.9111274),Nodo 610,,
POINT (-77.0229627 38.9118453),Nodo 611,,
POINT (-77.023466 38.9096399),Nodo 612,,
POINT (-77.022951 38.909642),Nodo 613,,
POINT (-77.0229456 38.9085493),Nodo 614,,
POINT (-77.0235008 38.9085785),Nodo 615,,
POINT (-77.0229421 38.9072678),Nodo 616,,
POINT (-77.0224287 38.9072364),Nodo 617,,
POINT (-77.0224386 38.912033),Nodo 618,,
POINT (-77.0224167 38.9111231),Nodo 619,,
POINT (-77.0224147 38.9096262),Nodo 620,,
POINT (-77.0219434 38.9096447),Nodo 621,,
POINT (-77.021938 38.9085886),Nodo 622,,
POINT (-77.0219328 38.9072506),Nodo 623,,
POINT (-77.0219465 38.9122408),Nodo 624,,
POINT (-77.0219411 38.9111263),Nodo 625,,
POINT (-77.020961 38.9125965),Nodo 626,,
POINT (-77.0209194 38.9121926),Nodo 627,,
POINT (-77.0209328 38.9115686),Nodo 628,,
POINT (-77.0209274 38.9111345),Nodo 629,,
POINT (-77.0213754 38.9111261),Nodo 630,,
POINT (-77.0209635 38.9107767),Nodo 631,,
POINT (-77.0209058 38.910725),Nodo 632,,
POINT (-77.0209356 38.9100435),Nodo 633,,
POINT (-77.0209249 38.9096511),Nodo 634,,
POINT (-77.0199271 38.9072239),Nodo 635,,
POINT (-77.0199433 38.9085859),Nodo 636,,
POINT (-77.0199057 38.9096546),Nodo 637,,
POINT (-77.0205134 38.9115849),Nodo 638,,
POINT (-77.0199484 38.9100488),Nodo 639,,
POINT (-77.0199779 38.9110947),Nodo 640,,
POINT (-77.0204688 38.9100574),Nodo 641,,
POINT (-77.0204688 38.9107461),Nodo 642,,
POINT (-77.0204768 38.911132),Nodo 643,,
POINT (-77.019943 38.9115473),Nodo 644,,
POINT (-77.0199529 38.9014747),Nodo 645,,
POINT (-77.0448722 38.9101188),Nodo 646,,
POINT (-77.0466478 38.9107449),Nodo 647,,
POINT (-77.0477394 38.911131),Nodo 648,,
POINT (-77.0487253 38.9111157),Nodo 649,,
POINT (-77.048677 38.9114663),Nodo 650,,
POINT (-77.0466606 38.9111308),Nodo 651,,
POINT (-77.0449196 38.911155),Nodo 652,,
POINT (-77.0466121 38.9115172),Nodo 653,,
POINT (-77.0466389 38.9118636),Nodo 654,,
POINT (-77.0466335 38.9122143),Nodo 655,,
POINT (-77.046655 38.9126025),Nodo 656,,
POINT (-77.0475562 38.9126233),Nodo 657,,
POINT (-77.0471312 38.913327),Nodo 658,,
POINT (-77.0467329 38.9139072),Nodo 659,,
POINT (-77.0465363 38.914089),Nodo 660,,
POINT (-77.0462332 38.914331),Nodo 661,,
POINT (-77.0460776 38.914425),Nodo 662,,
POINT (-77.0461018 38.9140973),Nodo 663,,
POINT (-77.0459784 38.9140932),Nodo 664,,
POINT (-77.0452502 38.9126009),Nodo 665,,
POINT (-77.0451 38.9126051),Nodo 666,,
POINT (-77.0450936 38.9123076),Nodo 667,,
POINT (-77.0449347 38.9123665),Nodo 668,,
POINT (-77.0448509 38.9122351),Nodo 669,,
POINT (-77.0448982 38.9118767),Nodo 670,,
POINT (-77.0448509 38.9117966),Nodo 671,,
POINT (-77.0454488 38.9118836),Nodo 672,,
POINT (-77.044502 38.9111351),Nodo 673,,
POINT (-77.0441453 38.9111289),Nodo 674,,
POINT (-77.0439707 38.9103108),Nodo 675,,
POINT (-77.0437232 38.9103833),Nodo 676,,
POINT (-77.0438633 38.9111321),Nodo 677,,
POINT (-77.0434462 38.9111269),Nodo 678,,
POINT (-77.0428695 38.9111373),Nodo 679,,
POINT (-77.0434194 38.9118715),Nodo 680,,
POINT (-77.0434569 38.9125936),Nodo 681,,
POINT (-77.0443693 38.9126024),Nodo 682,,
POINT (-77.0439885 38.911922),Nodo 683,,
POINT (-77.0434842 38.9121495),Nodo 684,,
POINT (-77.0428682 38.9125941),Nodo 685,,
POINT (-77.0422969 38.9121892),Nodo 686,,
POINT (-77.0422861 38.9118615),Nodo 687,,
POINT (-77.0422272 38.9126024),Nodo 688,,
POINT (-77.0416666 38.9126107),Nodo 689,,
POINT (-77.0434293 38.9133696),Nodo 690,,
POINT (-77.0428822 38.91338),Nodo 691,,
POINT (-77.0422492 38.9133487),Nodo 692,,
POINT (-77.0428634 38.9136617),Nodo 693,,
POINT (-77.0423082 38.9136868),Nodo 694,,
POINT (-77.0448829 38.9140916),Nodo 695,,
POINT (-77.0443894 38.9140791),Nodo 696,,
POINT (-77.0439763 38.9140875),Nodo 697,,
POINT (-77.0441782 38.9136783),Nodo 698,,
POINT (-77.0439556 38.9126202),Nodo 699,,
POINT (-77.043465 38.9141249),Nodo 700,,
POINT (-77.0425397 38.9037446),Nodo 701,,
POINT (-77.0428918 38.914104),Nodo 702,,
POINT (-77.0422749 38.9140915),Nodo 703,,
POINT (-77.0419208 38.9140915),Nodo 704,,
POINT (-77.041615 38.9140873),Nodo 705,,
POINT (-77.0416526 38.9136866),Nodo 706,,
POINT (-77.0416928 38.9133694),Nodo 707,,
POINT (-77.0399816 38.9133475),Nodo 708,,
POINT (-77.0401935 38.9140999),Nodo 709,,
POINT (-77.0393298 38.914079),Nodo 710,,
POINT (-77.0416525 38.9130128),Nodo 711,,
POINT (-77.0408586 38.9133509),Nodo 712,,
POINT (-77.0410839 38.9130169),Nodo 713,,
POINT (-77.0405689 38.912754),Nodo 714,,
POINT (-77.0406709 38.9126204),Nodo 715,,
POINT (-77.0411751 38.9126204),Nodo 716,,
POINT (-77.0410088 38.9122948),Nodo 717,,
POINT (-77.0413629 38.9118482),Nodo 718,,
POINT (-77.0417008 38.9118816),Nodo 719,,
POINT (-77.0416794 38.9115164),Nodo 720,,
POINT (-77.0420844 38.911125),Nodo 721,,
POINT (-77.0416981 38.9111125),Nodo 722,,
POINT (-77.0415748 38.9115925),Nodo 723,,
POINT (-77.0416767 38.9107201),Nodo 724,,
POINT (-77.0416981 38.9103903),Nodo 725,,
POINT (-77.0385251 38.9103862),Nodo 726,,
POINT (-77.0385385 38.9111292),Nodo 727,,
POINT (-77.0391715 38.9111208),Nodo 728,,
POINT (-77.0384849 38.91158),Nodo 729,,
POINT (-77.038517 38.9118747),Nodo 730,,
POINT (-77.0405502 38.9118872),Nodo 731,,
POINT (-77.0384688 38.9122044),Nodo 732,,
POINT (-77.0384902 38.9126177),Nodo 733,,
POINT (-77.038458 38.9133857),Nodo 734,,
POINT (-77.0385009 38.9136946),Nodo 735,,
POINT (-77.0384788 38.914087),Nodo 736,,
POINT (-77.0372028 38.9140786),Nodo 737,,
POINT (-77.0372001 38.9137061),Nodo 738,,
POINT (-77.0371679 38.9133419),Nodo 739,,
POINT (-77.0371867 38.9126093),Nodo 740,,
POINT (-77.0365266 38.9125759),Nodo 741,,
POINT (-77.0365266 38.9118412),Nodo 742,,
POINT (-77.0364729 38.9111108),Nodo 743,,
POINT (-77.0365239 38.9107103),Nodo 744,,
POINT (-77.0365239 38.9103742),Nodo 745,,
POINT (-77.0371921 38.9103811),Nodo 746,,
POINT (-77.0379699 38.9107108),Nodo 747,,
POINT (-77.0384849 38.9107254),Nodo 748,,
POINT (-77.037978 38.9103894),Nodo 749,,
POINT (-77.0345763 38.9087025),Nodo 750,,
POINT (-77.0345478 38.9089538),Nodo 751,,
POINT (-77.0326522 38.9096343),Nodo 752,,
POINT (-77.0345754 38.9104044),Nodo 753,,
POINT (-77.0345593 38.9107216),Nodo 754,,
POINT (-77.03457 38.9111098),Nodo 755,,
POINT (-77.035836 38.9111516),Nodo 756,,
POINT (-77.0345432 38.9115273),Nodo 757,,
POINT (-77.0345324 38.9118821),Nodo 758,,
POINT (-77.0345378 38.9122452),Nodo 759,,
POINT (-77.0345324 38.9125917),Nodo 760,,
POINT (-77.0345325 38.9131342),Nodo 761,,
POINT (-77.0345567 38.9133685),Nodo 762,,
POINT (-77.0365308 38.9133685),Nodo 763,,
POINT (-77.0364879 38.9141031),Nodo 764,,
POINT (-77.0345459 38.9135605),Nodo 765,,
POINT (-77.0345418 38.914082),Nodo 766,,
POINT (-77.0332329 38.9140778),Nodo 767,,
POINT (-77.0332597 38.9135644),Nodo 768,,
POINT (-77.0332758 38.9131554),Nodo 769,,
POINT (-77.033249 38.9126253),Nodo 770,,
POINT (-77.0326844 38.9126107),Nodo 771,,
POINT (-77.0325905 38.9125919),Nodo 772,,
POINT (-77.0326232 38.912229),Nodo 773,,
POINT (-77.0326018 38.9118533),Nodo 774,,
POINT (-77.0326286 38.9115486),Nodo 775,,
POINT (-77.0326018 38.9110936),Nodo 776,,
POINT (-77.0319661 38.911102),Nodo 777,,
POINT (-77.0319607 38.9107263),Nodo 778,,
POINT (-77.0319715 38.9103882),Nodo 779,,
POINT (-77.0319715 38.9096744),Nodo 780,,
POINT (-77.0313814 38.9096911),Nodo 781,,
POINT (-77.0309039 38.9096911),Nodo 782,,
POINT (-77.0306594 38.9096721),Nodo 783,,
POINT (-77.0303161 38.9098464),Nodo 784,,
POINT (-77.0303305 38.9096083),Nodo 785,,
POINT (-77.0303359 38.9095612),Nodo 786,,
POINT (-77.0305592 38.9093161),Nodo 787,,
POINT (-77.0302152 38.9093143),Nodo 788,,
POINT (-77.030157 38.9092668),Nodo 789,,
POINT (-77.0298813 38.9101593),Nodo 790,,
POINT (-77.0292828 38.9101405),Nodo 791,,
POINT (-77.0291816 38.9100964),Nodo 792,,
POINT (-77.0290711 38.9100007),Nodo 793,,
POINT (-77.0308903 38.9103052),Nodo 794,,
POINT (-77.0309011 38.9106725),Nodo 795,,
POINT (-77.030311 38.9106516),Nodo 796,,
POINT (-77.0296404 38.9106516),Nodo 797,,
POINT (-77.0296384 38.9111215),Nodo 798,,
POINT (-77.0308912 38.9111111),Nodo 799,,
POINT (-77.0313847 38.9111194),Nodo 800,,
POINT (-77.0314039 38.9118738),Nodo 801,,
POINT (-77.0319672 38.9118571),Nodo 802,,
POINT (-77.0319377 38.9126001),Nodo 803,,
POINT (-77.0313959 38.9126084),Nodo 804,,
POINT (-77.0314013 38.9122119),Nodo 805,,
POINT (-77.0313583 38.9115524),Nodo 806,,
POINT (-77.0296417 38.9115398),Nodo 807,,
POINT (-77.029631 38.911878),Nodo 808,,
POINT (-77.0296042 38.912191),Nodo 809,,
POINT (-77.0296578 38.9125917),Nodo 810,,
POINT (-77.0303981 38.9126376),Nodo 811,,
POINT (-77.0311813 38.9126168),Nodo 812,,
POINT (-77.0312081 38.9130008),Nodo 813,,
POINT (-77.0304035 38.9130175),Nodo 814,,
POINT (-77.0304196 38.9133639),Nodo 815,,
POINT (-77.0311384 38.9133556),Nodo 816,,
POINT (-77.0319608 38.9133556),Nodo 817,,
POINT (-77.0319689 38.9140985),Nodo 818,,
POINT (-77.0327002 38.9131594),Nodo 819,,
POINT (-77.0326787 38.9135476),Nodo 820,,
POINT (-77.0327109 38.914086),Nodo 821,,
POINT (-77.0325822 38.9141278),Nodo 822,,
POINT (-77.0307852 38.9141022),Nodo 823,,
POINT (-77.0304097 38.9140938),Nodo 824,,
POINT (-77.0304097 38.9137098),Nodo 825,,
POINT (-77.0296694 38.9136889),Nodo 826,,
POINT (-77.0296479 38.914098),Nodo 827,,
POINT (-77.0296104 38.9135011),Nodo 828,,
POINT (-77.0296211 38.9133467),Nodo 829,,
POINT (-77.0296264 38.9130294),Nodo 830,,
POINT (-77.0286448 38.9126287),Nodo 831,,
POINT (-77.0287647 38.9111293),Nodo 832,,
POINT (-77.0284487 38.9116438),Nodo 833,,
POINT (-77.0282663 38.9118222),Nodo 834,,
POINT (-77.0282267 38.9121782),Nodo 835,,
POINT (-77.0280319 38.9122113),Nodo 836,,
POINT (-77.0279475 38.9126068),Nodo 837,,
POINT (-77.0278147 38.9126193),Nodo 838,,
POINT (-77.0270741 38.9134529),Nodo 839,,
POINT (-77.0270097 38.9136574),Nodo 840,,
POINT (-77.0270839 38.9138082),Nodo 841,,
POINT (-77.0280821 38.9141047),Nodo 842,,
POINT (-77.0270521 38.9140963),Nodo 843,,
POINT (-77.0259953 38.9140963),Nodo 844,,
POINT (-77.02599 38.9136915),Nodo 845,,
POINT (-77.0259931 38.9133111),Nodo 846,,
POINT (-77.0259958 38.9126141),Nodo 847,,
POINT (-77.0270008 38.9126109),Nodo 848,,
POINT (-77.027033 38.9122185),Nodo 849,,
POINT (-77.0275802 38.9122018),Nodo 850,,
POINT (-77.0275802 38.9111416),Nodo 851,,
POINT (-77.0280952 38.9111333),Nodo 852,,
POINT (-77.0281005 38.9102567),Nodo 853,,
POINT (-77.0275694 38.9104278),Nodo 854,,
POINT (-77.0270384 38.9106546),Nodo 855,,
POINT (-77.0270545 38.9111013),Nodo 856,,
POINT (-77.026679 38.9107673),Nodo 857,,
POINT (-77.026003 38.9109781),Nodo 858,,
POINT (-77.0246861 38.911431),Nodo 859,,
POINT (-77.0239565 38.9116856),Nodo 860,,
POINT (-77.0229511 38.9120517),Nodo 861,,
POINT (-77.0219426 38.9123981),Nodo 862,,
POINT (-77.0211728 38.9126716),Nodo 863,,
POINT (-77.0202609 38.9130033),Nodo 864,,
POINT (-77.0198827 38.9131098),Nodo 865,,
POINT (-77.0198586 38.9129846),Nodo 866,,
POINT (-77.0198907 38.9125964),Nodo 867,,
POINT (-77.0198944 38.9121894),Nodo 868,,
POINT (-77.0205069 38.9122058),Nodo 869,,
POINT (-77.0205606 38.912594),Nodo 870,,
POINT (-77.0206545 38.9126942),Nodo 871,,
POINT (-77.0198792 38.9135186),Nodo 872,,
POINT (-77.0199489 38.9140946),Nodo 873,,
POINT (-77.0199667 38.9154181),Nodo 874,,
POINT (-77.020428 38.9156059),Nodo 875,,
POINT (-77.0204656 38.9141033),Nodo 876,,
POINT (-77.02053 38.9134688),Nodo 877,,
POINT (-77.0211737 38.9134688),Nodo 878,,
POINT (-77.021285 38.9141043),Nodo 879,,
POINT (-77.0208503 38.9140991),Nodo 880,,
POINT (-77.0211973 38.9140751),Nodo 881,,
POINT (-77.024507 38.9140906),Nodo 882,,
POINT (-77.0239813 38.9140864),Nodo 883,,
POINT (-77.023992 38.9136857),Nodo 884,,
POINT (-77.0240135 38.9133226),Nodo 885,,
POINT (-77.023992 38.9126047),Nodo 886,,
POINT (-77.023992 38.912062),Nodo 887,,
POINT (-77.0229596 38.9126005),Nodo 888,,
POINT (-77.0219537 38.9126046),Nodo 889,,
POINT (-77.0212975 38.9126131),Nodo 890,,
POINT (-77.0219076 38.9140793),Nodo 891,,
POINT (-77.0224226 38.9141085),Nodo 892,,
POINT (-77.0229644 38.9140918),Nodo 893,,
POINT (-77.0229429 38.915561),Nodo 894,,
POINT (-77.0224172 38.9155386),Nodo 895,,
POINT (-77.0219022 38.9155584),Nodo 896,,
POINT (-77.021457 38.9155678),Nodo 897,,
POINT (-77.0209106 38.9155607),Nodo 898,,
POINT (-77.0206799 38.915711),Nodo 899,,
POINT (-77.0211895 38.9159802),Nodo 900,,
POINT (-77.0214149 38.9160261),Nodo 901,,
POINT (-77.0219057 38.9162327),Nodo 902,,
POINT (-77.0458058 38.914617),Nodo 903,,
POINT (-77.0461465 38.9146984),Nodo 904,,
POINT (-77.0462699 38.914498),Nodo 905,,
POINT (-77.0463423 38.9148382),Nodo 906,,
POINT (-77.0461921 38.9148757),Nodo 907,,
POINT (-77.0464253 38.9158632),Nodo 908,,
POINT (-77.0462938 38.9159983),Nodo 909,,
POINT (-77.0464703 38.9161197),Nodo 910,,
POINT (-77.0463764 38.9162131),Nodo 911,,
POINT (-77.0465132 38.9162152),Nodo 912,,
POINT (-77.0462832 38.9162313),Nodo 913,,
POINT (-77.0467682 38.9167646),Nodo 914,,
POINT (-77.0466951 38.9167912),Nodo 915,,
POINT (-77.0463037 38.9166063),Nodo 916,,
POINT (-77.0464863 38.9168464),Nodo 917,,
POINT (-77.0460918 38.9169798),Nodo 918,,
POINT (-77.045511 38.9179446),Nodo 919,,
POINT (-77.045255 38.9183404),Nodo 920,,
POINT (-77.0450994 38.9185365),Nodo 921,,
POINT (-77.0447788 38.9190416),Nodo 922,,
POINT (-77.0443698 38.9196505),Nodo 923,,
POINT (-77.0441674 38.9201304),Nodo 924,,
POINT (-77.043926 38.9205958),Nodo 925,,
POINT (-77.0437278 38.9210278),Nodo 926,,
POINT (-77.0449481 38.9151212),Nodo 927,,
POINT (-77.0448623 38.9144909),Nodo 928,,
POINT (-77.0439342 38.9144784),Nodo 929,,
POINT (-77.0434461 38.9144868),Nodo 930,,
POINT (-77.0434407 38.9148332),Nodo 931,,
POINT (-77.0440575 38.9155552),Nodo 932,,
POINT (-77.0439221 38.9155563),Nodo 933,,
POINT (-77.043929 38.9152873),Nodo 934,,
POINT (-77.0434435 38.9153343),Nodo 935,,
POINT (-77.0434274 38.9155784),Nodo 936,,
POINT (-77.0429145 38.9155839),Nodo 937,,
POINT (-77.0428877 38.915179),Nodo 938,,
POINT (-77.0428931 38.9148493),Nodo 939,,
POINT (-77.0428931 38.9144903),Nodo 940,,
POINT (-77.0416619 38.9145154),Nodo 941,,
POINT (-77.0416539 38.9148347),Nodo 942,,
POINT (-77.0421769 38.9148409),Nodo 943,,
POINT (-77.0421796 38.9151582),Nodo 944,,
POINT (-77.0416405 38.9151707),Nodo 945,,
POINT (-77.0416619 38.9155651),Nodo 946,,
POINT (-77.0400844 38.9155845),Nodo 947,,
POINT (-77.0388586 38.9155991),Nodo 948,,
POINT (-77.0384884 38.9155803),Nodo 949,,
POINT (-77.038478 38.9149614),Nodo 950,,
POINT (-77.0388886 38.91455),Nodo 951,,
POINT (-77.0393607 38.9148338),Nodo 952,,
POINT (-77.0395726 38.9148129),Nodo 953,,
POINT (-77.0384811 38.9148238),Nodo 954,,
POINT (-77.0384891 38.9144983),Nodo 955,,
POINT (-77.0371856 38.9145025),Nodo 956,,
POINT (-77.0371534 38.9148238),Nodo 957,,
POINT (-77.0364855 38.914828),Nodo 958,,
POINT (-77.0364969 38.9145679),Nodo 959,,
POINT (-77.0345309 38.9144844),Nodo 960,,
POINT (-77.034547 38.9146033),Nodo 961,,
POINT (-77.034555 38.9148329),Nodo 962,,
POINT (-77.0358363 38.914837),Nodo 963,,
POINT (-77.0358363 38.9151459),Nodo 964,,
POINT (-77.0365015 38.9155674),Nodo 965,,
POINT (-77.0358891 38.9155383),Nodo 966,,
POINT (-77.0350948 38.9155456),Nodo 967,,
POINT (-77.0345316 38.9155769),Nodo 968,,
POINT (-77.034553 38.9151616),Nodo 969,,
POINT (-77.0332361 38.9155936),Nodo 970,,
POINT (-77.0326299 38.9155769),Nodo 971,,
POINT (-77.0326406 38.9151804),Nodo 972,,
POINT (-77.0326031 38.9148423),Nodo 973,,
POINT (-77.0326192 38.9145376),Nodo 974,,
POINT (-77.0319647 38.9148214),Nodo 975,,
POINT (-77.031954 38.9156019),Nodo 976,,
POINT (-77.0313647 38.9155792),Nodo 977,,
POINT (-77.0313207 38.9155742),Nodo 978,,
POINT (-77.031307 38.9150973),Nodo 979,,
POINT (-77.0312453 38.914826),Nodo 980,,
POINT (-77.0307973 38.9148365),Nodo 981,,
POINT (-77.0307832 38.9150896),Nodo 982,,
POINT (-77.0307805 38.9155717),Nodo 983,,
POINT (-77.0296258 38.9155717),Nodo 984,,
POINT (-77.0378958 38.9155762),Nodo 985,,
POINT (-77.0296097 38.9148542),Nodo 986,,
POINT (-77.0296151 38.9145161),Nodo 987,,
POINT (-77.0288426 38.9145119),Nodo 988,,
POINT (-77.0288426 38.9148416),Nodo 989,,
POINT (-77.0280969 38.9145161),Nodo 990,,
POINT (-77.0280916 38.9148416),Nodo 991,,
POINT (-77.028108 38.9151243),Nodo 992,,
POINT (-77.0280757 38.915571),Nodo 993,,
POINT (-77.0275929 38.9155877),Nodo 994,,
POINT (-77.027609 38.9144816),Nodo 995,,
POINT (-77.0270779 38.9144732),Nodo 996,,
POINT (-77.0270189 38.9146945),Nodo 997,,
POINT (-77.0270136 38.9155668),Nodo 998,,
POINT (-77.0262196 38.9155866),Nodo 999,,
POINT (-77.0260842 38.9155793),Nodo 1000,,
POINT (-77.0261398 38.915488),Nodo 1001,,
POINT (-77.0266534 38.9146225),Nodo 1002,,
POINT (-77.026015 38.9144931),Nodo 1003,,
POINT (-77.0260097 38.9148229),Nodo 1004,,
POINT (-77.0260365 38.9151902),Nodo 1005,,
POINT (-77.0245219 38.9144841),Nodo 1006,,
POINT (-77.0245165 38.9148337),Nodo 1007,,
